regime,a_error_sd,b_error_sd,participant,t,learn_auc,transfer_auc
lazy_50,0,0,sim_study2_near_sub41,320,303.66312275473473,263.73447675493776
lazy_50,0,0,sim_study1_near_sub23,293,1238.1833846691895,3791.0291742577897
lazy_50,0,0,sim_study1_near_sub37,214,172.94076342726507,1631.7515880521096
lazy_50,0,0,sim_study1_near_sub36,634,86.79695302757325,473.88592354934485
lazy_50,0,0,sim_study2_near_sub68,306,261.8913066118055,635.2234343229983
lazy_50,0,0,sim_study2_near_sub42,201,0.0,3189.711135074876
lazy_50,0,0,sim_study1_near_sub34,482,573.9320902514887,1140.5093819158608
lazy_50,0,0,sim_study1_near_sub21,311,340.5008561568572,1641.7394598141693
lazy_50,0,0,sim_study1_near_sub35,627,510.3013803412209,175.63350673230258
lazy_50,0,0,sim_study2_near_sub43,727,356.08953517827126,281.3708471659658
lazy_50,0,0,sim_study2_near_sub57,306,627.3328253990067,1276.0330673566305
lazy_50,0,0,sim_study2_near_sub53,246,450.9997701840862,1706.6349260104466
lazy_50,0,0,sim_study2_near_sub47,208,0.0,3154.116343332158
lazy_50,0,0,sim_study1_near_sub31,161,747.7255078470587,1631.5299631142623
lazy_50,0,0,sim_study1_near_sub18,419,97.30477108822222,671.4713488192056
lazy_50,0,0,sim_study1_near_sub24,133,239.88236045146428,1736.9900550386565
lazy_50,0,0,sim_study1_near_sub30,194,0.0,4165.6784525347375
lazy_50,0,0,sim_study2_near_sub46,168,185.1976339453515,2787.273636739061
lazy_50,0,0,sim_study2_near_sub52,245,736.8999186924142,86.56328789683943
lazy_50,0,0,sim_study2_near_sub44,290,774.5449615583088,804.10882439794
lazy_50,0,0,sim_study1_near_sub26,276,301.15633341666944,751.1512443573583
lazy_50,0,0,sim_study1_near_sub32,134,291.125496200988,2741.944870546641
lazy_50,0,0,sim_study1_near_sub33,263,283.8395269285178,941.6887863622758
lazy_50,0,0,sim_study2_near_sub51,194,0.0,499.0160780619633
lazy_50,0,0,sim_study2_near_sub45,147,75.02194135023973,4542.223791788084
lazy_50,0,0,sim_study2_near_sub36,274,0.0,2247.6400242312357
lazy_50,0,0,sim_study1_near_sub40,233,1126.7514277384864,952.028913064957
lazy_50,0,0,sim_study1_near_sub54,168,625.8837237903374,1507.3785251930524
lazy_50,0,0,sim_study1_near_sub41,133,0.0,5636.276338361982
lazy_50,0,0,sim_study1_near_sub69,126,288.1504158778938,757.1657271443739
lazy_50,0,0,sim_study2_near_sub37,232,578.2521779594327,0.0
